Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción
Socialpoint,Game Data Analyst / Scientist,"Barcelona, Cataluña, España",Publicado hace hace 1 mes,25 visualizaciones,Sin experiencia,Videojuegos,Jornada completa,Tecnología de la información,"Do you want to be part of a worldwide mobile games leader? We are an international team of more than 330 talented SocialPointers , based in sunny & cosmopolitan Barcelona . We create amazing games, positioned in the top rankings of both iOS & Android, that are played & loved by over 50 million fans all over the world.
In 2017 we were acquired by Take Two Interactive (GTA, Bioshock, Red Dead Redemption, NBA, XCom...) & we have been expanding our activities ever since, as well as creating exciting new opportunities for super talented people to join our teams!
Join the challenge & help us make this year the breakout year in mobile social gaming.
We are looking to welcome yet another brilliant Game Data Analyst/Scientist in our Analytics team , where you will work to understand our gamers’ behaviour, work with the game teams to improve the product, drive retention & user conversion.
Applying quantitative analysis, statistics & programming , you’ll draw business insights that add real value to Socialpoint. To truly make an impact you’ll need to learn quickly & work well in a fast-paced environment while collaborating closely with our Game Teams & Heads of Product.
What will you do in Socialpoint?
Work with the Game Teams to provide insights into user behaviour and answer key business questions.
Perform hands-on research, data exploration and analysis .
Communicate, define and visualize analysis and results to senior stakeholders, including: Head of Analytics, VPs of Product, the CEOs and other C-level executives.
Acting as the liaison between product, game developers, data engineers and data scientists to ensure our data is precisely specified, understood and consistent.
Team up with other data scientists to lead projects on machine learning, behavioural segmentation and monetization.
Using predictive analytics to predict how users will react to changes in the Games.
What are we looking for?
3+ years experience applying analytics to answer business questions and mine for insights that drive value, preferably in a mobile B2C business.
A Masters degree in a quantitative subject area (such as Statistics, Maths, or Social Sciences) from a leading university.
Strong analytical skills in applied statistics or econometrics and prior experience in empirical analysis.
Experience implementing data science models with Python, R or Matlab.
Excellent written and oral communication skills, experience presenting to business stakeholders.
A passion for turning data into actionable insights.
You are fluent in written and spoken English.
Solid skills visualising findings with a front-end visualization tool like Tableau, Looker or Chartio.
And you are ......
A passionate gamer, this is a must!
Creative and innovative, always looking for better ways to achieve our goals.
A fast learner, highly meticulous, a consummate professional. You bring value into any conversation you have.
Pragmatic, you know how to balance short term and long term deliverables.
A team player, you establish effective relationships to work with others for the win
Able to operate sensitively in multi-cultural environments and build effective working relationships.
What's in it for you as a Socialpointer?
Due to the COVID-19 crisis, we are working remotely until further notice. However, this hasn’t stopped us from offering these great benefits!
You’ll get the newest & most powerful devices & equipment to work with , along with a Spotify Premium account.
An impressive 25 days annual leave, not including public holidays!
Private medical insurance , just in case!
Free Language Lessons.
People development is key for us: an amazing training budget just for you & our internal mobility program offers real growth opportunities!
Drop by our hairdresser ’s for a trim (& forget your wallet).
And whenever we go back to the office....
Monday breakfast + delicious daily lunch menus!
Want to stay in shape? We have a brand new gym, football & basketball teams along with a fantastic physiotherapist.
“An apple a day keeps the doctor away” so we get fresh fruit at the office every day!
Monthly events are there to get you to know your colleagues.
If you are new to sunny Barcelona you can also join our Newbies Club: we offer weekend activities once a month, Spanish lessons & help with all your boring paperwork!
The list just goes on & on... so get your game on & apply now!
Socialpoint is proud to be an equal opportunity employer. You’re welcome on the team no matter where you’re from, who you like, what you look like, or if you prefer Xbox over Playstation. It’s a trick question – mobile wins every time! We hire based on your qualifications and demonstrated ability to perform job responsibilities. Our games are for everyone, and so is our workplace.
Nivel de experiencia
Sin experiencia
Sector
Videojuegos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Dentsu,Digital Analyst,"Madrid, Comunidad de Madrid, España",Publicado hace hace 4 días,9 visualizaciones,Sin experiencia,Marketing y publicidad Servicios y tecnologías de la información Internet,Jornada completa,Otro,"Descripción de la empresa

Merkle es una compañía especializada en Customer Experience Management, experta en desarrollar experiencias de cliente únicas y personalizadas a través de diferentes plataformas y dispositivos.

Hacemos analítica desde una visión estratégica, ayudando a nuestros clientes a alcanzar mejores resultados, evolucionar su índice de madurez digital y experiencia de cliente combinando tecnología y la gestión y el análisis de datos para generar una ventaja competitiva.

Desde nuestras oficinas en Madrid, Barcelona y Gijón, colaboramos con empresas del IBEX 35, grandes anunciantes y corporaciones de perfil Fortune 500. La base del liderazgo de MERKLE lo forman las personas. Un EQUIPO de TALENTO DIGITAL formado por gente joven, ilusionada, llena de potencial y con unas enormes ganas de hacer bien su trabajo.

Descripción del empleo

¿Buscas crecer personal y profesionalmente? ¿Buscas desarrollar tu carrera en un entorno joven y amigable junto a un fantástico equipo que te comprende y habla tu mismo idioma? ¿Quieres participar en un proyecto motivador, diferente, lleno de retos y desafíos que te harán salir de tu zona de confort?

Si es así: Bienvenido a Merkle | Divisadero, este es tu sitio

Buscamos personas motivadas, que se propongan retos y que se sientan cómodas trabajando en equipo y proponiendo nuevas formas de hacer las cosas. Personas que disfruten del trato con el cliente en un ambiente donde los datos nos rodean y la interpretación de los mismos es nuestro arte.

Tus Funciones Consistirán En
Diseñar, monitorizar y analizar KPIs.
Optimizar campañas digitales y procesos de conversión.
Traducir las necesidades de negocio de los clientes a los requerimientos técnicos de las herramientas de análisis.
Identificar y analizar datos relevantes sobre los usuarios (customer data, procesos de conversión, audiencias y campañas digitales) en los proyectos y servicios asignados, así como validar y diseñar hipótesis.
Dar soporte y resolver incidencias a nivel de configuración de herramienta de análisis digital.
Detectar sinergias y coordinar tareas con otros departamentos y stakeholders implicados.
Definir y liderar proyectos de visualización de datos.
Gestionar y coordinar proyectos de analítica digital, con capacidad de priorizar tareas y detectar desviaciones.
Presentar conclusiones de análisis a los equipos de negocio.
Acompañar al cliente hacia una cultura data-driven orientada a la optimización de procesos y estrategias.
Te ofrecemos un puesto de trabajo estable, de futuro, con posibilidad de promoción interna.

Trabajamos con clientes grandes, líderes en su sector y con un alto grado de madurez digital.

Queremos que te sientas a gusto por lo que fomentamos actividades de cohesión interna para sentirnos más equipo.

Te daremos formación inicial y formación continua, aunque tu espíritu de buscar por ti mismo y tus ganas de aprender debe ser algo que marque tu desarrollo profesional con nosotros.

¿Te unes al equipo? Te esperamos!!

Requisitos
Al menos 2 años de experiencia en posiciones similares o liderando proyectos de analítica web.
Uso avanzando de la herramienta Adobe Analytics y/o Google Analytics.
Perfil analítico, organizado, autónomo, orientado a prevenir y solucionar incidencias.
Visión de negocio y capacidad para transformar datos en insights accionables.
Atención a los detalles, proactivo y con capacidad de trabajo en equipo.
Capacidad para dimensionar y priorizar tareas.

Other Valuable Skills
Conocimientos de BigQuery y SQL
Experiencia en el uso de herramientas de visualización de datos (Power BI, Tableau)
Nivel medio de inglés (B2 – C1)
Experiencia trabajando bajo metodologías agile.

Información adicional

Te Ofrecemos
Contrato indefinido
Excelente ambiente de trabajo
Seguro médico privado
Horario flexible
Posibilidad de teletrabajar
Fomación continúa (Linkedin Learning, Merkle University, etc)

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number ""63879"". Message & data rates may apply. Please refer to our privacy policy for more information.
Nivel de experiencia
Sin experiencia
Sector
Marketing y publicidad Servicios y tecnologías de la información Internet
Tipo de empleo
Jornada completa
Funciones laborales
Otro"
The Cocktail Global,Digital Analyst & CRO,"Comunidad de Madrid, España",Publicado hace hace 1 mes,77 visualizaciones,Sin experiencia,Marketing y publicidad Servicios y tecnologías de la información Internet,Jornada completa,Otro,"Así Somos

The Cocktail es una consultora digital cuya misión es orquestar y acelerar el crecimiento de nuestros clientes. Lo conseguimos porque hay una cosa que sabemos hacer muy bien: movilizar organizaciones para impulsar la relación entre las marcas y clientes mediante el diseño de productos y servicios, los datos y la tecnología digital. Entendemos lo que nuestros clientes necesitan y construimos capacidades a ritmo de mercado y a una velocidad de vértigo.

Nuestro entorno de trabajo se caracteriza por el crecimiento profesional exponencial, y la participación en proyectos con impacto real en grandes clientes. El ecosistema de especialistas es amplio y diverso (estrategia, diseño, tecnología, data, investigación…) y la interacción entre los equipos es nuestro día a día.

Formar parte de The Cocktail implica rodearse de personas referentes e inspiradoras de quien aprender, y que te ayudarán a crecer frente a los retos que te encontrarás. Trabajamos bajo la máxima de que es mejor pedir perdón que permiso y en un entorno en el que se aprende del error. Por eso, esperamos de quienes forman la compañía que aporten una visión disruptiva y challenger, sean inconformistas buscando la excelencia y se apropien de los desafíos..

Si quieres moverte en un equipo retador, empujar proyectos innovadores y en definitiva, hacer que las cosas pasen , The Cocktail es para ti.

Éste Es El Reto

En The Cocktail buscamos un perfil CRO Consultant (Conversion Rate Optimization) con experiencia en analítica digital, que tenga ambición por ayudar a desarrollar proyectos de optimización de conversiones orientados a la mejora continua de los activos digitales y los objetivos de negocio del cliente.

En Tu Día a Día

Entre otras cosas, esto es lo que harás:
Desarrollarás diferentes estrategias de medición y pruebas A/B para el análisis de los datos.
Interpretarás los resultados obtenidos en cada test a través del conocimiento estadístico.
Tomarás decisiones sobre la optimización de web según los resultados obtenidos.
Definirás la medición ayudando a su implementación técnica.
Asegurarás la solidez y consistencia de los datos a través de auditorías.
Manejarás herramientas de analítica y testing como:
Analítica: Google Analytics, Adobe Analytics, Crazy Egg, Hotjar, Qualaroo, Inspectlet, etc.
Testing: Optimizely, Google Optimize, Adobe Target, etc.
Usar diferentes herramientas para diseño y prototipado: Sketch, InVision, Balsamiq, Axure, Photoshop, Fireworks, etc.
La Experiencia En The Cocktail
Modelo de trabajo basado en la autorresponsabilidad y la autogestión con horario flexible y teletrabajo (de verdad).
Formación pensada para tu desarrollo profesional e individual.
Acceso a una red de gimnasios por un precio especial.
27 merecidos días de vacaciones al año y, por si no son suficientes, puedes disfrutar de hasta 5 días más de extra time.
Seguro médico privado con cobertura completa.
Posibilidad de retribución flexible (tarjeta restaurante, tarjeta transporte o cheque guardería).
Un equipo de trabajo a tu medida para que uses el sistema operativo que más te guste.
No tenemos dress code. Ven como quieras a trabajar.
Nuestras oficinas están ubicadas en el centro de la ciudad, tanto en Madrid como en Oviedo.
Ser parte de una compañía con alma: no solo por ser dog friendly (tenemos a Maggie en la oficina) si no porque además, tenemos iniciativas de apoyo a la maternidad (una sala de lactancia en la oficina y programas para mamás y papás), la sostenibilidad (políticas zero waste), la igualdad de género y diversidad (iniciativas de visibilización e inclusión del colectivo LGTB+, colaboraciones para disminuir la desigualdad social...).
En The Cocktail pretendemos ser un referente en talento y calidad humana, y sólo lo conseguiremos siendo una compañía abierta y diversa, por eso tenemos un Código de Conducta que refleja nuestras expectativas de las personas que participan en la empresa. Ofrecemos un entorno acogedor para todos, independientemente de su identidad o expresión de género, orientación sexual, capacidad, origen, religión, estatus socioeconómico…

Próximos Pasos

Si has llegado hasta aquí es porque hemos conseguido llamar tu atención ;)

Apúntate a la oferta y el equipo de People echará un vistazo a tu CV. Si coincide con lo que buscamos, recibirás una llamada para conocernos mejor, que podamos contarte más sobre The Cocktail y el sobre el rol.

Nuestros procesos de selección suelen tener alrededor de dos o tres entrevistas, y es posible que en algún momento queramos verte en acción y te propongamos un reto técnico. Al final del proceso charlaremos acerca de las condiciones salariales del puesto, una vez te conozcamos bien y sepamos cuánto puedes aportar.

Si necesitas un tip para el proceso: simplemente queremos que seas tú.
Nivel de experiencia
Sin experiencia
Sector
Marketing y publicidad Servicios y tecnologías de la información Internet
Tipo de empleo
Jornada completa
Funciones laborales
Otro"
AKUARO,Data Engineer/Analytics,"Barcelona, Cataluña, España",Publicado hace hace 6 días,30 visualizaciones,Sin experiencia,Servicios y tecnologías de la información Software Internet,Jornada completa,Tecnología de la información,"Empresa startup ganadora de numerosos premios nacionales e internacionales, que lo está, literalmente petando, cuyo producto es un Marketplace que, a parte de serlo en un sector innovador, ha solucionado y ha tenido un impacto social muy positivo. El equilibrio perfecto entre una gran idea disruptiva y el bien que hace a su sector.
Actualmente buscan un Data Engineer para ser el owner del desarrollo del Data Lake, Data Warehouse, aportando los mejores métodos y de la mejor forma para la ingestión de datos. Desarrollar las herramientas y frameworks útiles para conectar el equipo de Data con el de IT, construyendo pipelines escalables y, al mismo tiempo, haciendo uso de diferentes tecnologías. (esto no parece decir mucho más que cualquier otra oferta, verdad? Pero ahora sigo)Equipo: Estarás trabajando con otros 3 data analyst, la head de data, y en estrecha colaboración con el DevOps y el equipo IT.El must de stack: Actualmente están migrando todo su data stack a Google Cloud (Bigquery, Composer). Pero, conocedores de que no es tan común el expertise de esta herramienta en el mercado (aunque cada vez se usa más), estarían buscando a alguien que venga de AWS (Redshift y demás) así como Airflow, y tampoco una excesiva seniority, porque la idea es que tenga los fundamentos y dentro de la empresa poder formarse y crecer. A destacar que como Benefit ellos tienen suscripción a una famosa plataforma de aprendizaje, así como tienen asignado tiempo semanal, en horario laboral, para formarse.Softskills: Ambiente increíble, dicho por varios miembros del equipo, ya que los conocemos desde hace tiempo. Buscarían a alguien dinámico, que le mole el ecosistema startup, y no le de miedo lanzarse a la piscina a aprender cosas nuevas y últimas tecnologías.
Y esto no es todo, además de un paquete de benefits al que habría que añadir mucho team building, y clases de idiomas, se añade su política 100% remote friendly (aunque restringido por ahora a las personas en el mismo huso horario que España), por lo que, si así lo quieres, y más allá del COVID, puedes continuar trabajando desde tu casa, la cafetería o un lugar paradisíaco de la costa ?
Challengue + la leche de compañía + gran ambiente laboral + 100% remote + muchas más cosas.
Cuál es el salario máximo que ofrecen por esta ganga de oportunidad? 45.000 € bruto/anual
Si te ha interesado lo más mínimo, aplica y te contaré más.Type: PermanentCategory: BI / Big Data
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Ge Renewable Energy,Logistics Application Advisor And Data Analyst,"Barcelona, Cataluña, España",Publicado hace hace 1 semana,23 visualizaciones,Algo de responsabilidad,Manufactura eléctrica/electrónica Servicios y tecnologías de la información Software,Jornada completa,Gestión Manufactura,"Job Description SummaryAs a member of the Outbound Logistics team, the analyst will perform in a hybrid role to link the scopes of Transport Management software application advisory and detailed logistics data analytics.Job DescriptionEssential ResponsibilitiesTransport Management Software advisoryGet and maintain detailed knowledge about tailor made transport management system (RenTM) – features, structure, principles, links, interfacesReceive, communicate and track application bugs with software developer, drive solutions, be first level support for RenTM users in EuropeOrganize and lead trainings of RenTM for new users (internal, external) and refresher sessionsAssess RenTM, server structure performance, identify and solve performance issuesAttend ongoing, new RenTM application developments in liaison with Program Manager, Business contacts and software developer. Ensure system changes are properly scoped (requirement defined)Support business process translation into system requirementsData analyticsGather, process and maintain relevant Outbound Logistics data (focus: time, costs, quality level)Create and maintain data queries manually, but also in RenTM and ERP applications (Oracle, Unifier, Tableau).Regularly report data analyses and KPI dashboard maintenance to logistics and project managementAutomize data analytics within existing software environmentRe-examine current practices considering changing business environment, parameters and requirementsQualifications / RequirementsRelevant work experience in software application advisory, preferably transport management systemsRelevant work experience in data mining and operations data analytics, preferably logistics dataWork experience in business process management and development for measuring processesuniversity degree in information technologies, logistics or related subject to demonstrate applicable knowledge baseProficiency in ERP operations, preferably Oracle applications to gather and analyze dataClear thinking mindset to understand complex context and act adequatelySelf-confident and persistent characteristics to get users trained and software bugs fixedHigh communication skills with the ability to work with and through global, cross-functional teams (internal, external)Expertise in virtual communication (Microsoft Teams, Skype for Business) for providing trainings and giving ad-hoc support sessions to usersProven presentation and coaching skills to efficiently lead training sessionDemonstrated ability to multitask and prioritize diverse tasks with a proven ability to meet hard deadlinesFluent verbal and writing skills in English, and German or SpanishIf contracted in Spain:Non-national candidates are responsible to know the minimum documentation requirements to be able to be contracted in country: NIE- Social Security Affiliation Number in Spain (NAF) and Bank Account in Spain. They must be in possession of them at the time of start hiring. GE will not sponsor this requirement.Desired CharacteristicsExperience in working at GE, knowledge of GE processes and business operationsExperience with Oracle business suite, Tableau, Unifier software applicationsAdditional InformationRelocation Assistance Provided: NoJob SummaryDate posted : 2021-02-23Profession: Manufacturing & LogisticsEmployment type: Regular
Nivel de experiencia
Algo de responsabilidad
Sector
Manufactura eléctrica/electrónica Servicios y tecnologías de la información Software
Tipo de empleo
Jornada completa
Funciones laborales
Gestión Manufactura"
Seres,Analista de Datos.,"Madrid, Comunidad de Madrid, España",Publicado hace hace 21 horas,162 visualizaciones,Sin experiencia,Servicios y tecnologías de la información Software Recursos humanos,Jornada completa,Tecnología de la información,"Rol: Analista de Datos Requerimientos: Grado Superior en informática, matemáticas o estadística.
Mínimo de 3 años de experiencia en las funciones señaldas.
Imprescindible conocimientos extensos, prácticos y teóricos, de bases de datos.
Especialmente SQL Server y MySQL/MariaDB.
Imprescindible habilidades para el análisis de datos (PowerBI, R, Python o similares).
Habilidades de programación para interactuar con BD SQL.
Conocimiento de técnicas de estadística / aprendizaje automático (clasificación, modelos predictivos, agrupamiento).
Deseable: Experiencia con herramientas de presentación y exploración de datos como PowerBI, Oracle Analytics, Cognos, Tableau, Qlik.
Experiencia con lenguajes de tratamiento de datos como R, Python, JavaScript / NodeJS.
Conocimiento de BD Oracle y PL/SQL.
Se apreciará también conocimientos de APEX.
Capacidad para exponer los resultados con herramientas gráficas a grupos de interés sin formación técnica.
Habilidades de comunicación en público y realizar presentaciones.
Habilidades analíticas para el trabajo con grandes volúmenes de datos.
Atención a los detalles para el tratamiento de los datos, precisión y calidad de los resultados, trazabilidad de las operaciones realizadas, controles de calidad del datos.
Capacidad para valorar el negocio: los resultados de los análisis han de tener una repercusión directa en la mejora del servicio o del negocio.
Base teórica: los analistas de datos tiene que tener habilidades matemáticas / estadísticas para aplicar en el tratamiento de los datos, estimación de datos numéricos, elaboración de modelos y evaluación de conocimientos de entornos big data.
certificaciones en análisis y presentación de datos de Oracle, IBM, Microsoft, Google; conocimiento en otras tecnologías de bases de datos y lenguajes orientados al análisis.
Conocimiento de algoritmos de minería de ón e ilusión por la tecnología.
Fuerte compromiso en el desempeño del puesto y el alcance de los objetivos de empresa mediante la mejora contínua de todos los sistemas y servicios.
Habilidades de liderazgo técnico y responsabilidad.
Persona acostumbrada a trabajar por objetivos.
Alto nivel de Inglés y Francés valorable.
Funciones: Toma de requerimientos, diseño y elaboración de modelos de datos, informes y gráficos, tanto para el consumo interno de la compañía como para sus clientes, con herramientas como PowerBI, Oracle Analytics, Cognos, Tableau, Qlik.
Desarrollo de módulos en R, Python, PL/SQL, Oracle ML, Oracle APEX, JavaScript / NodeJS para la extracción, preparación, modelado y presentación de datos.
Desarrollo de gráficos mediante librerías JavaScript para su integración en informes o páginas web.
Labores de gobernanza y calidad del dato relacionados con el tratamiento de datos de la compañía y de sus clientes.
Condiciones Laborales: Contratación directa en cliente final Puesto estable Salario negociable según valía (acorde a mercado) Horario de oficina (horario de mañana los viernes y jornada de mañana en Julio y Agosto) Lugar de trabajo: Madrid

Disponibilidad Para Viajar

No

Disponibilidad Para Cambio De Residencia

No
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
PEPSICO,Digital Sales Data & Integration Analyst,"Barcelona, Cataluña, España",Publicado hace hace 6 días,28 visualizaciones,Algo de responsabilidad,Alimentación y bebidas Artículos de consumo Recursos humanos,Jornada completa,Tecnología de la información,"Auto req ID: 220872BRJob DescriptionScrum Master for Technical Enablers team which means acting is the servant leader of a team of approximately 3-12 individuals (including themselves and the Product Owner) who is responsible for protecting the team from influences or impediments which prevent the team from accomplishing its goals. Secondly the incumbent will support Customer Engagement Digital Ordering Data & Integration Lead with designing, building and deploying systems integrations for Customer Engagement and Digital Ordering. She/he will work closely with both internal IT specialists and group of IT suppliers (analysts and developers) against delivering a robust, highly performing and scalable systems integrations for new IT product on our existing global and sector platforms.Accountabilities:
Accountable for the managing one Agile team (technical enablers) and the delivering integrations within a scope of Customer Engagement and Digital Ordering projects within the Europe Sector
Observes team's work and continuously searches for improvement areas to help team achieve higher level of efficiency
Proactively identifies impediments, looks for pragmatic and constructive solutions and escalates when necessary
Actively engages with the key stakeholders in defining and then designing optimal integration solutions to maximize solution commonality and re-usability across markets
Do the quality assurance of built solutions ensuring they meet functional specifications and high end standards of technical reliability (solution is affordable, stable and scalable)
Collaborate with external vendors and global internal IT service providers (e.g. CTO), orchestrate adherence to standard processes and procedures
Focus on Agile metrics: velocity, value, time-to-market when mobilizing an delivering new initiatives
Challenging existing practices and supplies healthy disruptions trough introducing technology innovations
Ensure adherence to IT Architecture principles and guidelines
Understands the best in class industry use-cases and translates them into proposals for our own businessQualifications/RequirementsExperience:+5 years experience in delivering systems integrations / development+5 years proven track record of successful delivery of medium / high complexity projects (in area of systems integrations)+3 years Agile projects and dynamic work environments Skills:Scrum Master ExperienceDigitally savvy and fluent in technology trends and applicationsProficient in written & spoken EnglishPeople management skills and experience in managing teams in different time zones and cultural background preferredFlexibility to travel (25% minimum)Bachelor’s degree required Eligible: Not ApplicableJob Type: Regular

Nivel de experiencia
Algo de responsabilidad
Sector
Alimentación y bebidas Artículos de consumo Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Grupo Eroski,Analista de datos,"Elorrio, País Vasco / Euskadi, España",Publicado hace hace 1 semana,140 visualizaciones,Sin experiencia,Manufactura eléctrica/electrónica,Jornada completa,Tecnología de la información,"¿Te apasionan los datos, te gusta pensar en formas de crear soluciones que respondan a la
mejora y la eficiencia?

Te insertarás en el departamento de análisis de datos para la mejora de procesos de las
diferentes unidades de negocio, te encargarás de la definición, verificación del diseño y
dimensionamiento del proyecto para resolver los diferentes casos de uso de analítica avanzada.
laborarás el desarrollo hasta la puesta en producción del modelo desarrollado.
Trabajarás en un equipo multidisciplinar, junto con el negocio, proveedor y soporte técnico.

Nos dirigimos a personas con una titulación universitaria superior (Preferentemente en Matemáticas, Estadística o Ingeniería Informática, Posgrado o formación similar en Big Data, Business Analytics o Analítica Avanzada. Conocimiento lenguaje de programación R.). Nos gustaría que tuvieras conocimientos de lenguaje de programación Python, Conocimiento en el manejo de herramienta de visualización de datos: Qlik, Tableau, Power BI o similares, Conocimiento arquitectura de Big Data y modelo de datos, Conocimiento gobierno de datos, conocimientos del sector retail.

Contrato de 1 año

Trabajar en una de las empresas de distribución más importantes de España, con un modelo organizativo único, el modelo cooperativo.

Job originally posted on GrabJobs. If you need to report this job please contact GrabJobs
Nivel de experiencia
Sin experiencia
Sector
Manufactura eléctrica/electrónica
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Dxc Technology,Business Analyst,"Córdoba, Andalucía, España",Publicado hace hace 3 días,1 visualización,Algo de responsabilidad,Servicios y tecnologías de la información Software Servicios financieros,Jornada completa,Desarrollo empresarial Ventas,"Job Description

Requirement Gathering experience. Fluent communication skills to define, re define and fine tune high level requirements for enhancements projects and defects fixing to be solve. Technical functional writing definition knowledge. Flow and business process understanding to be able to understand and validate the client needs. Airlines basic transportation knowledge desired but not excluded. QA basic knowledge to be able to collaborate with the development team in expert smoke testing to validate requirements. Priorities and sense of urgency understanding based on client permanently changes. Working with multidisciplinary team member end to end during the delivery process: Development teams, QA, Bas, SMEs, Client, Management and Leadership).

If you are an applicant from US, Guam, Puerto Rico:

DXC Technology is an Equal Opportunity/Affirmative Action employer. All qualified candidates will receive consideration for employment without regard to disability, protected veteran status, race, color, religious creed, national origin, citizenship, marital status, sex, sexual orientation/gender identity, age (40 or over), or genetic information. DXC's commitment to diversity and inclusive selection practices includes ensuring qualified long-term unemployed job seekers receive equal consideration for employment. See postings link below.

If you are an individual with a disability, a disabled veteran, or a wounded warrior and you are unable or limited in your ability to access or use this site as a result of your disability, you may request a reasonable accommodation by contacting us via email . Please note: DXC will respond only to requests for accommodations due to a disability.

We participate in E-Verify (see link below). In addition to the posters already identified, DXC provides access to prospective employees for the Federal Minimum Wage Poster, Federal Polygraph Protection Act Poster as well as any state or locality specific applicant posters. To access the postings, select your state to view all applicable federal, state and locality postings. Postings are available in English, and in Spanish, where required.
Nivel de experiencia
Algo de responsabilidad
Sector
Servicios y tecnologías de la información Software Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Desarrollo empresarial Ventas"
Socialpoint,Game Data Analyst / Scientist,"Barcelona, Cataluña, España",Publicado hace hace 1 mes,16 visualizaciones,Algo de responsabilidad,Videojuegos,Jornada completa,Tecnología de la información,"Do you want to be part of a worldwide mobile games leader? We are an international team of more than 330 talented SocialPointers , based in sunny & cosmopolitan Barcelona . We create amazing games, positioned in the top rankings of both iOS & Android, that are played & loved by over 50 million fans all over the world.

In 2017 we were acquired by Take Two Interactive (GTA, Bioshock, Red Dead Redemption, NBA, XCom...) & we have been expanding our activities ever since, as well as creating exciting new opportunities for super talented people to join our teams!

Join the challenge & help us make this year the breakout year in mobile social gaming.

We are looking to welcome yet another brilliant Game Data Analyst/Scientist in our Analytics team, where you will work to understand our gamers' behaviour, work with the game teams to improve the product, drive retention & user conversion.

Applying quantitative analysis, statistics & programming, you'll draw business insights that add real value to Socialpoint. To truly make an impact you'll need to learn quickly & work well in a fast-paced environment while collaborating closely with our Game Teams & Heads of Product.

What will you do in Socialpoint?

Work with the Game Teams to provide insights into user behaviour and answer key business questions.
Perform hands-on research, data exploration and analysis .
Communicate, define and visualize analysis and results to senior stakeholders, including: Head of Analytics, VPs of Product, the CEOs and other C-level executives.
Acting as the liaison between product, game developers, data engineers and data scientists to ensure our data is precisely specified, understood and consistent.
Team up with other data scientists to lead projects on machine learning, behavioural segmentation and monetization.
Using predictive analytics to predict how users will react to changes in the Games.


What are we looking for?

3+ years experience applying analytics to answer business questions and mine for insights that drive value, preferably in a mobile B2C business.
A Masters degree in a quantitative subject area (such as Statistics, Maths, or Social Sciences) from a leading university.
Strong analytical skills in applied statistics or econometrics and prior experience in empirical analysis.
Experience implementing data science models with Python, R or Matlab.
Excellent written and oral communication skills, experience presenting to business stakeholders.
A passion for turning data into actionable insights.
You are fluent in written and spoken English.
Solid skills visualising findings with a front-end visualization tool like Tableau, Looker or Chartio.

And you are ......

A passionate gamer, this is a must!
Creative and innovative, always looking for better ways to achieve our goals.
A fast learner, highly meticulous, a consummate professional. You bring value into any conversation you have.
Pragmatic, you know how to balance short term and long term deliverables.
A team player, you establish effective relationships to work with others for the win
Able to operate sensitively in multi-cultural environments and build effective working relationships.

What's in it for you as a Socialpointer?

Due to the COVID-19 crisis, we are working remotely until further notice. However, this hasn't stopped us from offering these great benefits!

You'll get the newest & most powerful devices & equipment to work with , along with a Spotify Premium account.
An impressive 25 days annual leave, not including public holidays!
Private medical insurance , just in case!
Free Language Lessons.
People development is key for us: an amazing training budget just for you & our internal mobility program offers real growth opportunities!
Drop by our hairdresser 's for a trim (& forget your wallet).

And whenever we go back to the office....

Monday breakfast + delicious daily lunch menus!
Want to stay in shape? We have a brand new gym, football & basketball teams along with a fantastic physiotherapist.
""An apple a day keeps the doctor away"" so we get fresh fruit at the office every day!
Monthly events are there to get you to know your colleagues.
If you are new to sunny Barcelona you can also join our Newbies Club: we offer weekend activities once a month, Spanish lessons & help with all your boring paperwork!

The list just goes on & on... so get your game on & apply now!

Socialpoint is proud to be an equal opportunity employer. You're welcome on the team no matter where you're from, who you like, what you look like, or if you prefer Xbox over Playstation. It's a trick question - mobile wins every time! We hire based on your qualifications and demonstrated ability to perform job responsibilities. Our games are for everyone, and so is our workplace.
Nivel de experiencia
Algo de responsabilidad
Sector
Videojuegos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
