,id,breed,name_breed,description
53,53,greater_swiss_mountain_dog,Greater Swiss Mountain Dog,"The Greater Swiss Mountain Dog (German: Grosser Schweizer Sennenhund or French: Grand Bouvier Suisse) is a dog breed which was developed in the Swiss Alps. The name Sennenhund refers to people called Senn or Senner, dairymen and herders in the Swiss Alps. Greater Swiss Mountain Dogs are almost certainly the result of indigenous dogs mating with large mastiff-type dogs brought to Switzerland by foreign settlers. At one time, the breed was believed to have been among the most popular in Switzerland. It was assumed to have almost died out by the late 19th century, since its work was being done by other breeds or machines, but was rediscovered in the early 1900s.The breed is large and heavy-boned with great physical strength, but is still agile enough to perform the all-purpose farm duties it was originally used for. Its breed standard calls for a black, white, and rust colored coat.
The Greater Swiss Mountain Dog is sociable, active, calm, and dignified, and loves being part of the family. It is relatively healthy for its size and tends to have far fewer problems than more popular breeds in its size range. Among the four Sennenhunde, or Swiss mountain dogs, this breed is considered the oldest, and is also the largest.

"
54,54,groenendael,Groenendael,"Groenendaal is a surname. Notable people with the surname include:

Jacobus Groenendaal (1805–1860), South African politician
Reinier Groenendaal (born 1951), Dutch cyclo-cross cyclist
Richard Groenendaal (born 1971), Dutch cyclo-cross cyclist"
55,55,ibizan_hound,Ibizan Hound,"The Ibizan Hound (Spanish: podenco ibicenco, Catalan: ca eivissenc) is a lean, agile dog of the hound family. There are two hair types of the breed: smooth and wire. The more commonly seen type is the smooth. Some consider there to be a third type, long, but the longhair is most likely a variation of the wire.

"
56,56,irish_setter,Irish Setter,No description available.
57,57,irish_terrier,Irish Terrier,No description available.
58,58,irish_water_spaniel,Irish Water Spaniel,"The Irish Water Spaniel (Irish: An Spáinnéar Uisce) is a breed of dog that is the tallest of the spaniels.

"
59,59,irish_wolfhound,Irish Wolfhound,"The Irish Wolfhound is a historic sighthound dog breed from Ireland that has, by its presence and substantial size, inspired literature, poetry and mythology. Like all sighthounds, it was used to pursue game by speed; it was also famed as a guardian dog, specializing in protection against and for the hunting of wolves. The original dog-type was presumed extinct by most knowledgeable authors but recreated specifically for the canine fancy mainly by Captain George A. Graham in the late 19th century. The modern breed, classified by recent genetic research into the Sighthound United Kingdom Rural Clade, has been used by coursing hunters who have prized it for its ability to dispatch game caught by other, swifter sighthounds.

"
60,60,italian_greyhound,Italian Greyhound,"The Italian Greyhound (Italian: Piccolo levriero Italiano) is an Italian breed of small sighthound. It may also be called the Italian Sighthound.

"
61,61,japanese_spaniel,Japanese Spaniel,"The Japanese Chin (Japanese: 狆, chin), also known as the Japanese Spaniel, is a dog known for its strabismus of the eyes. Being both a lap dog and a companion dog, this toy breed has a distinctive heritage.

"
62,62,keeshond,Keeshond,"The Keeshond ( KAYSS-hond, plur. Keeshonden) is a medium-sized dog with a plush, two-layer coat of silver and black fur with a ruff and a curled tail. It originated in Holland, and its closest relatives are the German spitzes such as the Großspitz (Large Spitz), Mittelspitz (Medium Spitz), Kleinspitz (Miniature Spitz), Zwergspitz (Dwarf-Spitz) or Pomeranian.
The Keeshond was previously known as the Dutch Barge Dog, as it was frequently seen on barges traveling the canals and rivers of the Netherlands.  The Keeshond was the symbol of the Patriot faction in the Netherlands during political unrest in the years immediately preceding the French Revolution.
In the late 19th century, the breed was developed in England from imports obtained in both the Netherlands and Germany.  In 1930, the Keeshond was first registered with the American Kennel Club.

"
63,63,kelpie,Kelpie,"Kelps are large brown algae seaweeds that make up the order Laminariales. There are about 30 different genera. Despite its appearance, kelp is not a plant; it is a heterokont.
Kelp grows in ""underwater forests"" (kelp forests) in shallow oceans, and is thought to have appeared in the Miocene, 5 to 23 million years ago. The organisms require nutrient-rich water with temperatures between 6 and 14 °C (43 and 57 °F). They are known for their high growth rate—the genera Macrocystis and Nereocystis can grow as fast as half a metre a day, ultimately reaching 30 to 80 metres (100 to 260 ft).Through the 19th century, the word ""kelp"" was closely associated with seaweeds that could be burned to obtain soda ash (primarily sodium carbonate). The seaweeds used included species from both the orders Laminariales and Fucales. The word ""kelp"" was also used directly to refer to these processed ashes."
64,64,kerry_blue_terrier,Kerry Blue Terrier,"The Kerry Blue Terrier (also known as the Irish Blue Terrier) (Irish: An Brocaire Gorm) is a breed of dog. Originally bred to control vermin including rats, rabbits, badgers, foxes, otters and hares, over time the Kerry became a general working dog used for a variety of jobs including herding cattle and sheep, and as a guard dog. Today the Kerry has spread around the world as a companion and working dog. Despite a Kerry Blue winning Crufts (the most prestigious UK dog show) in 2000, it remains an ""unfashionable"" breed, and is distinctly uncommon; however, it is not as threatened as some of the other terrier breeds such as the Skye Terrier, Sealyham Terrier, and Dandie Dinmont Terrier.

"
65,65,komondor,Komondor,"The Komondor  (in Hungarian, the plural form of komondor is komondorok), also known as the Hungarian sheepdog, is a large, white-coloured Hungarian breed of livestock guardian dog with a long, corded coat.
Sometimes referred to as 'mop dogs', the Komondor is a long-established dog breed commonly employed to guard livestock and other property. The Komondor was brought to Europe by the Cumans and the oldest known mention of it is in a Hungarian codex from 1544. The Komondor breed has been declared one of Hungary’s national treasures, to be preserved and protected from modification."
66,66,kuvasz,Kuvasz,"The Kuvasz is a traditional Hungarian breed of flock guardian dog. Mention of the breed can be found in old Hungarian texts. They have historically been royal guard dogs, or guarded livestock, but have been increasingly found in homes as pets over the last seventy years."
67,67,labrador_retriever,Labrador Retriever,"The Labrador Retriever, often abbreviated to Labrador, is a breed of retriever-gun dog from the United Kingdom that was developed from imported Canadian fishing dogs. The Labrador is one of the most popular dog breeds in a number of countries in the world, particularly in the Western world.
A popular disability assistance breed in many countries, Labradors are frequently trained to aid those with blindness or autism, act as a therapy dog, or perform screening and detection work for law enforcement and other official agencies. The breed is best known for their obedience, loyalty, and playful composure. Additionally, they are prized as sporting and hunting dogs. Ancestors include a breed used in Newfoundland as fishing dogs, that would help in bringing in the fishing nets and recapture escaped fish.
In the 1830s, the 10th Earl of Home and his nephews the 5th Duke of Buccleuch and Lord John Scott, had imported progenitors of the breed from Newfoundland to Europe for use as gundogs. Another early advocate of these Newfoundland fishing dogs was the 2nd Earl of Malmesbury, who bred them for their expertise in waterfowling.During the 1880s, the 3rd Earl of Malmesbury, the 6th Duke of Buccleuch, and the 12th Earl of Home collaborated to develop and establish the Labrador Retriever breed. The dogs Buccleuch Avon and Buccleuch Ned, given by Malmesbury to Buccleuch, were mated with bitches carrying blood from those originally imported by the 5th Duke and the 10th Earl of Home. The offspring are the ancestors of all modern Labradors."
68,68,lakeland_terrier,Lakeland Terrier,"The Lakeland Terrier is a dog breed, which takes its name from its place of origin, the Lake District  in England. The dog is a small to mid-size member of the Terrier family. While independent in personality, it interacts well with owners and all family members, and is mostly hypo-allergenic (non shedding). In the United Kingdom, the Lakeland Terrier is considered a vulnerable dog breed at risk of going extinct through low levels of breeding, according to The Kennel Club. In the United States, the Lakeland Terrier ranked 148 out of 193 breeds by number of American Kennel Club puppy registrations in 2019.

"
69,69,leonberg,Leonberg,"Leonberg is a town in the German federal state of Baden-Württemberg about 16 km (10 mi) to the west of  Stuttgart, the state capital. About 45,000 people live in Leonberg, making it the third-largest borough in the rural district (Landkreis) of Böblingen (after Sindelfingen and Böblingen to the south).
Leonberg is most famous for its picturesque market square, the centuries-old annual horse market, its past role as seat of one of Württemberg's first parliaments, and the Pomeranzen Garden – Germany's only remaining terraced garden which dates back to the late Renaissance."
70,70,lhasa,Lhasa,"Dhaka ( DAH-kə or  DAK-ə, Bengali: [ˈɖʱaka]) (ঢাকা), formerly known as Dacca, is the capital and the largest city of Bangladesh. It is the ninth-largest and the sixth-most densely populous city in the world, with a population of 8.9 million residents within the city limits, and a population of over 21 million residents in the Greater Dhaka Area. Dhaka is the economic, political, and cultural center of Bangladesh, and is one of the major cities in South Asia, the largest city in Eastern South Asia and among the Bay of Bengal countries; and one of the largest cities among OIC countries. As part of the Bengal plain, the city is bounded by the Buriganga River, Turag River, Dhaleshwari River and Shitalakshya River.
The area of Dhaka has been inhabited since the first millennium. The city rose to prominence in the 17th century as a provincial capital and commercial center of the Mughal Empire. Dhaka was the capital of the proto-industrialised Mughal Bengal for 75 years (1608–39 and 1660–1704).  As the center of the muslin trade in Bengal, it was one of the most prosperous cities in the world. The medieval city was named Jahangirabad in honor of the Mughal Emperor Jahangir and hosted the seat of the Mughal Subahdar, Naib Nazims and Dewans. Medieval Dhaka's glory peaked in the 17th and 18th centuries, when it was home to merchants from across Eurasia. It was the centre of a flourishing sea trade attracting European traders. The Mughals decorated the city with well-laid out gardens, tombs, mosques, palaces and forts. The city was once called the Venice of the East. Under British rule, the city saw the introduction of electricity, railways, cinemas, Western-style universities and colleges and a modern water supply. It became an important administrative and educational center in British Raj, as the capital of Eastern Bengal and Assam province after 1905. In 1947, after the end of British rule, the city became the administrative capital of East Pakistan. It was declared as the legislative capital of Pakistan in 1962. In 1971, after the Liberation War, it became the capital of an independent Bangladesh.
Dhaka is the financial, commercial and the entertainment capital of Bangladesh, and accounts for up to 35% of Bangladesh's economy. Since its establishment as a modern capital city the population, area, social and economic diversity of Dhaka have grown tremendously. The city is now one of the most densely industrialized regions in Bangladesh. Dhaka is a major beta-global city, as it hosts the headquarters of several international corporations. By the 21st century, it emerged as a megacity. The Dhaka Stock Exchange has over 750 listed companies. The city hosts over 50 diplomatic missions and the headquarters of BIMSTEC. The city's culture is known for its cycle-rickshaws, cuisine, art festivals and religious diversity. The old city is home to around 2000 buildings from the Mughal and British periods, including notable structures such as the Bara Katra and Choto Katra caravansaries."
71,71,malamute,Malamute,"Masamune (正宗), also known as Gorō Nyūdō Masamune (五郎入道正宗, Priest Gorō Masamune, c.1264–1343), was a medieval Japanese blacksmith who is widely recognized as Japan's greatest swordsmith. He created swords and daggers, known in Japanese as tachi and tantō respectively, in the Sōshū school. However, many of his forged tachi were made into katana by cutting the tang (nakago) in later times. For this reason, his only existing works are katana and tantō. No exact dates are known for Masamune's life. It is generally agreed that he made most of his swords between 1288 and 1328. Some stories list his family name as Okazakii, but some experts believe this is a fabrication to enhance the standing of the Tokugawa family.Masamune is believed to have worked in Sagami Province during the last part of the Kamakura period (1288–1328), and it is thought that he was trained by swordsmiths from Bizen and Yamashiro provinces, such as Saburo Kunimune, Awataguchi Kunitsuna and Shintōgo Kunimitsu. He was the father of Hikoshiro Sadamune, also a famous Sōshū master.
An award for swordsmiths called the Masamune Prize is awarded at the Japanese Sword Making Competition. Although not awarded every year, it is presented to a swordsmith who has created an exceptional work."
72,72,malinois,Malinois,"The Belgian Shepherd  (also known as the Belgian Sheepdog or the Chien de Berger Belge) is a breed of medium-sized herding dog from Belgium. While predominantly considered a single breed, it is bred in four distinct varieties based on coat type and colour; the long-haired black Groenendael, the rough-haired fawn Laekenois, the short-haired fawn Malinois, and the long-haired fawn Tervuren; in the United States the American Kennel Club considers the four varieties to be separate breeds.
The breed descends from a common type of shepherd dog found throughout Western Europe that includes such modern breeds as the Bouvier des Ardennes, Dutch Shepherd and German Shepherd. A common sight in the service of Belgian shepherds for centuries, it was not until the end of the 19th century that a breed club was formed and attempts were made to standardise the breed.
In addition to its historical role as a herding dog, Belgian Shepherds have been used as assistance dogs, companion dogs, detection dogs, guard dogs, guide dogs, police dogs, and search and rescue dogs. The breed has a long history of being used by military forces, serving in both World Wars; they continue to be used by a number of militaries in a variety of roles to this day."
73,73,maltese_dog,Maltese Dog,"The Maltese is a breed of dog in the toy group. It is thought to have originated in south-central Europe from dogs of spitz type. Despite the name, it has no verified historic or scientific connection to the island of Malta.

"
74,74,mexican_hairless,Mexican Hairless,"The Xoloitzcuintle/Xoloitzquintle/Xoloitzcuintli ( (listen)), or Xolo, is one of several breeds of hairless dog. It is found in Estándar (Standard), Intermedio (intermediate), and Miniatura (miniature) sizes. The Xolo also comes in a coated variety totally covered in fur and coated and hairless can be born in the same litter as a result of the same combination of genes. The hairless variant is known as the Perro pelón mexicano or Mexican hairless dog. It is characterized by its duality, wrinkles, and dental abnormalities, along with a primitive temper. In Nahuatl, from which its name originates, it's xōlōitzcuintli [ʃoːloːit͡sˈkʷint͡ɬi] (singular) and xōlōitzcuintin [ʃoːloːit͡sˈkʷintin] (plural). The name comes from the god Xolotl that according to ancient narratives it's his creator and itzcuīntli [it͡skʷiːnt͡ɬi], meaning dog in Nahuatl language.

"
75,75,miniature_pinscher,Miniature Pinscher,"The Miniature Pinscher, also known as the Zwergpinscher, and Min Pin, is a small breed of dog of the pinscher type originating from Germany. The breed's earliest ancestors may have included the German Pinscher mixed with Italian greyhounds and dachshunds.Historical artifacts and paintings place the Min Pin as a very old breed, but factual documentation began less than 200 years ago, leaving its actual origins to debate. Many historians and those who have researched the background of the breed agree that this heritage is most likely correct, adding the shorthaired German Pinscher to the family tree. The international kennel club, the Fédération Cynologique Internationale, lists the Miniature Pinscher in Group 2, Section 1.1 Pinscher, along with the Dobermann, the German Pinscher, the Austrian Pinscher, and the other Toy Pinscher, the Affenpinscher. Other kennel clubs list the Miniature Pinscher in the Toy Group or Companion Group.

"
76,76,miniature_poodle,Miniature Poodle,"The Poodle, called the Pudel in German and the Caniche in French, is a breed of water dog. The breed is dived into four varieties based on size, the Standard Poodle, Medium Poodle, Miniature Poodle and Toy Poodle, although the Medium Poodle variety is not universally recognised.
The Poodle is most commonly claimed to have been developed in Germany, although it is also claimed to be from France, the Standard Poodle was originally used by wildfowl hunters to retrieve game from water. The smaller varieties of the breed were bred from the original in France where they were once commonly used as circus performers, but have become popular companion dogs.

"
77,77,miniature_schnauzer,Miniature Schnauzer,"The Miniature Schnauzer is a breed of small dog of the Schnauzer type that originated in Germany in the mid-to-late 19th century. Miniature Schnauzers may have been developed from the smallest specimens of the Standard Schnauzer, or crosses between the standard and one or more smaller breeds such as the Affenpinscher, Miniature Pinscher, and Poodles, as farmers bred a small dog that was an efficient ratting dog. They are described as ""spunky"" but aloof dogs, with good guarding tendencies without some guard dogs' predisposition to bite. Miniature Schnauzers are recognized in four colors internationally: solid black, black and silver, salt and pepper, and white.It is the most popular Schnauzer breed, and remains one of the most popular worldwide, primarily for its temperament and relatively small size. As of 2017 it is the 17th most popular breed in the U.S.

"
78,78,newfoundland,Newfoundland,"Newfoundland and Labrador (, locally ) is the easternmost province of Canada, in the country's Atlantic region. It is composed of the island of Newfoundland and the continental region of Labrador to the northwest, with a combined area of 405,212 square kilometres (156,500 sq mi). In 2018, the province's population was estimated at 525,073. About 92% of the province's population lives on the island of Newfoundland (and its neighbouring smaller islands), of whom more than half live on the Avalon Peninsula.
The province is Canada's most linguistically homogeneous, with 97.0% of residents reporting English (Newfoundland English) as their mother tongue in the 2016 census. Historically, Newfoundland was also home to unique varieties of French and Irish, as well as the extinct Beothuk language. In Labrador, the indigenous languages Innu-aimun and Inuktitut are also spoken.
Newfoundland and Labrador's capital and largest city, St. John's, is Canada's 20th-largest census metropolitan area and is home to almost 40 per cent of the province's population. St. John's is the seat of government, home to the House of Assembly of Newfoundland and Labrador and to the highest court in the jurisdiction, the Newfoundland and Labrador Court of Appeal.
Formerly a colony and then a dominion of the United Kingdom, Newfoundland gave up its independence in 1933, following significant economic distress caused by the Great Depression and the aftermath of Newfoundland's participation in World War I. It became the tenth and final province to enter Confederation on March 31, 1949, as ""Newfoundland"". On December 6, 2001, an amendment was made to the Constitution of Canada to change the province's name to Newfoundland and Labrador."
79,79,norfolk_terrier,Norfolk Terrier,"The Norfolk Terrier is a British breed of dog. Prior to gaining recognition as an independent breed in 1964, it was a variety of the Norwich Terrier, distinguished from the ""prick eared"" Norwich by its ""drop ears"" (or folded ears). Together, the Norfolk and Norwich Terriers are the smallest of the working terriers.

"
80,80,norwegian_elkhound,Norwegian Elkhound,"The Norwegian Elkhound is one of the Northern Spitz-type breed of dog and is the National Dog of Norway. The Elkhound has served as a hunter, guardian, herder, and defender. It is known for its courage in tracking and hunting moose and other large game, such as bears or wolves. The Norwegian Elkhound was first presented at a dog exhibition in Norway in 1877.
The AKC breed name ""Norwegian Elkhound"" is a direct translation from its original Norwegian name Norsk elghund, meaning ""Norwegian moose dog."" The breed's object in the hunt is to independently track down and hold the moose at bay—jumping in and out toward the moose, distracting its attention, while signaling to the hunters by barking very loudly—until the hunter who follows the sound can arrive to shoot it. The dog will only bark while the moose is stationary, but it can also slowly drive the moose towards shooters lying in wait. The Norwegian Elkhound is also used on a leash. In this mode of hunting, the dog leads the hunter in the direction of the moose while keeping quiet."
81,81,norwich_terrier,Norwich Terrier,"The Norwich Terrier is a breed of dog originating in the United Kingdom, and was bred to hunt small rodents. With a friendly personality, Norwich Terriers are today mostly a companion dog breed. One of the smallest terriers, these dogs are generally healthy, but are relatively rare, due in part to their low litter size and the common need for caesarian sections. Their drop-eared variety is the Norfolk Terrier. Recognized as the ""official breed of England"" in 1932, Norwich Terriers have been delighting owners around the world as a hardworking, loyal companion dogs for nearly a century.

"
82,82,old_english_sheepdog,Old English Sheepdog,The Old English Sheepdog is a large breed of dog that emerged in England from early types of herding dog. Obsolete names for the breed include Shepherd's Dog and bob-tailed sheep-dog. The nickname Bob-tail (or Bobtail) originates from how dogs of the breed traditionally had their tails docked. Old English Sheepdogs can grow very long coats with fur covering the face and eyes and do not shed unless brushed.
83,83,otterhound,Otterhound,The Otterhound is a British dog breed. It is a scent hound and is currently recognised by the Kennel Club as a Vulnerable Native Breed with around 600 animals worldwide.
84,84,papillon,Papillon,No description available.
85,85,pekinese,Pekinese,"The Pekingese (also spelled Pekinese) is a breed of toy dog, originating in China. The breed was favored by royalty of the Chinese Imperial court as both a lap dog and companion dog, and its name refers to the city of Peking (Beijing) where the Forbidden City is located. The breed has several characteristics and health issues related to its unique appearance. Because of its desirable characteristics, the Pekingese has been part of the development of designer crossbreeds, such as the Peekapoo (crossed with a poodle) and Peke-a-tese (crossed with a Maltese)."
86,86,pembroke,Pembroke,No description available.
87,87,pomeranian,Pomeranian,No description available.
88,88,pug,Pug,"The pug is a breed of dog with physically distinctive features of a wrinkly, short-muzzled face, and curled tail. The breed has a fine, glossy coat that comes in a variety of colours, most often light brown (fawn) or black, and a compact, square body with well-developed muscles.
Pugs were brought from China to Europe in the sixteenth century and were popularized in Western Europe by the House of Orange of the Netherlands, and the House of Stuart. In the United Kingdom, in the nineteenth century, Queen Victoria developed a passion for pugs which she passed on to other members of the Royal family.
Pugs are known for being sociable and gentle companion dogs. The American Kennel Club describes the breed's personality as ""even-tempered and charming"". Pugs remain popular into the twenty-first century, with some famous celebrity owners.

"
89,89,redbone,Redbone,No description available.
90,90,rhodesian_ridgeback,Rhodesian Ridgeback,"The Rhodesian Ridgeback is a dog breed bred in the Southern Africa region. Its forebears can be traced to the ridged hunting and guarding dogs of the Khoikhoi, which were crossed with European dogs by the early colonists of the Cape Colony of southern Africa. The original breed standard was drafted by F. R. Barnes, in Bulawayo, Southern Rhodesia  (now Zimbabwe), in 1922, who named the breed the Rhodesian Ridgeback. The standard was approved by the South African Kennel Union in 1927.

"
91,91,rottweiler,Rottweiler,"The Rottweiler (, UK also ) is a breed of domestic dog, regarded as medium-to-large or large. The dogs were known in German as Rottweiler Metzgerhund, meaning Rottweil butchers' dogs, because their main use was to herd livestock and pull carts laden with butchered meat to market. This continued until the mid-19th century when railways replaced droving. Although still used to herd stock in many parts of the world, Rottweilers are now also used as search and rescue dogs, guard dogs, and police dogs.

"
92,92,saint_bernard,Saint Bernard,No description available.
93,93,saluki,Saluki,"The Saluki is a standardised breed developed from sighthounds – dogs that hunt primarily by sight rather than scent – that was once used by nomadic tribes to run down game animals. The dog was originally bred in the Fertile Crescent. The modern breed is typically deep-chested and long-legged, and similar dogs appear in medieval and ancient art. The breed is most closely related to the Afghan hound, a basal breed that predates the emergence of modern breeds in the 19th century, and the Saluki has been purebred both in the Middle East, including by royalty, since at least that era, and in the West (especially in Britain and Germany) since the 1840s (with breed standards established in the West and the Middle East around the 1920s–1930s), though as a free-breeding landrace, similar dogs are common as feral animals in the Middle East. A related standardised breed is the north African Sloughi.

"
94,94,samoyed,Samoyed,"The Samoyed ( SAM-ə-yed or  sə-MOY-ed; Russian: Самое́дская соба́ка or Самое́д) (also known as the Bjelkier) is a breed of medium-sized herding dogs with thick, white, double-layer coats. They are related to the laika, a spitz-type dog.
It takes its name from the Samoyedic peoples of Siberia. These nomadic reindeer herders bred the fluffy white dogs to help with herding.

"
95,95,schipperke,Schipperke,A Schipperke (; Dutch: [ˈsxɪpərkə]) is a small breed of dog that originated in Belgium. There has been a long informal debate over whether this type of dog is a spitz or miniature sheepdog. In their home country of Belgium they are considered a small shepherd.
96,96,scotch_terrier,Scotch Terrier,"The Scottish Terrier (Scottish Gaelic: Abhag Albannach; also known as the Aberdeen Terrier), popularly called the Scottie, is a breed of dog. Initially one of the highland breeds of terrier that were grouped under the name of Skye Terrier, it is one of five breeds of terrier that originated in Scotland, the other four being the modern Skye, Cairn, Dandie Dinmont, and West Highland White Terriers. They are an independent and rugged breed with a wiry outer coat and a soft dense undercoat. The First Earl of Dumbarton nicknamed the breed ""the diehard"".
They are a small breed of terrier with a distinctive shape and have had many roles in popular culture. They have been owned by a variety of celebrities, including the 32nd president of the United States, Franklin Delano Roosevelt, whose Scottie Fala is included with FDR in a statue in Washington, D.C., as well as by the 43rd president, George W. Bush.  They are also well known for being a playing piece in the board game Monopoly. Described as territorial, feisty dogs, they can make a good watchdog and tend to be very loyal to their family. Healthwise, Scottish Terriers can be more prone to bleeding disorders, joint disorders, autoimmune diseases, allergies, and cancer than some other breeds of dog, and there is a condition named after the breed called Scotty cramp. They are also one of the more successful dog breeds at the Westminster Kennel Club Dog Show with a recent best in show in 2010.

"
97,97,scottish_deerhound,Scottish Deerhound,"The Scottish Deerhound, or simply the Deerhound, is a large breed of hound (a sighthound), once bred to hunt the red deer by coursing. In outward appearance, the Scottish Deerhound is similar to the Greyhound, but larger and more heavily boned with a rough-coat. The Deerhound is closely related to the Irish Wolfhound and was a contributor to that breed when it was re-created at the end of the 19th century.

"
98,98,sealyham_terrier,Sealyham Terrier,"The Sealyham Terrier (Welsh: Daeargi Sealyham) is a rare Welsh breed of small to medium-sized terrier that originated in Wales as a working dog.  It is principally a white-bodied, rough-coated breed, developed in the mid-to-late-19th century by Captain John Edwardes at Sealyham House, Pembrokeshire.
Following the First World War, it surged in popularity and was associated with Hollywood stars and members of the British Royal Family. Its numbers have dropped significantly since then, with the breed listed as a Vulnerable Native Breed by the Kennel Club; an all-time low was recorded in 2008 when only 43 puppies were registered in the United Kingdom. This decline has been blamed on an influx of foreign and designer breeds, and the Sealyham's reduced usefulness as a working dog.
This breed is equally suitable as a family dog or a working terrier, given the right training. It is affected by few breed specific breed disorders, with the only two prevalent conditions being lens luxation and canine degenerative myelopathy.  A DNA test is now readily available to identify dogs who carry the gene that causes lens luxation and breeding programs can be adjusted.

"
99,99,shetland_sheepdog,Shetland Sheepdog,"The Shetland Sheepdog, often known as the Sheltie, is a breed of herding dog that originated in the Shetland Islands of Scotland. The original name was Shetland Collie, but this caused controversy amongst Rough Collie breeders of the time, so the breed's name was formally changed. This diligent small dog is clever, vocal, excitable and willing to please. They are incredibly trustworthy to their owners to the point where they are often referred to as ""shadows"" due to their attachment to family. This breed was formally recognized by The Kennel Club (UK) in 1909.
Like the Shetland pony, Shetland cattle and the Shetland sheep, the Shetland Sheepdog is a hardy but diminutive breed developed to thrive amidst the harsh and meagre conditions of its native islands.  While the Sheltie still excels at herding, today it is often raised as a working dog and/or family pet. The Sheltie's origins are obscure, but it is not a direct descendant of the Rough Collie, which it largely resembles. Rather, the Sheltie is a descendant of small specimens of the Scottish Collie and the King Charles Spaniel. They were originally a small mixed-breed dog, often only about 20 to 30 centimetres (8 to 12 inches) in height at the shoulder, and it is thought that the original Shetland herding dogs were of the Spitz type, and were crossed with Collies from mainland Britain. In the early 20th century, James Loggie added a small Rough Collie to the breeding stock, and helped establish the breed that would become the modern Shetland Sheepdog.

"
100,100,shih-tzu,Shih-Tzu,No description available.
101,101,siberian_husky,Siberian Husky,"The Siberian Husky is a medium-sized working sled dog breed. The breed belongs to the Spitz genetic family. It is recognizable by its thickly furred double coat, erect triangular ears, and distinctive markings, and is smaller than the similar-looking Alaskan Malamute.
Siberian Huskies originated in Northeast Asia where they are bred by the Chukchi people of Siberia for sled-pulling, and companionship. It is an active, energetic, resilient breed, whose ancestors lived in the extremely cold and harsh environment of the Siberian Arctic. William Goosak, a Russian fur trader, introduced them to Nome, Alaska, during the Nome Gold Rush, initially as sled dogs. Today, the Siberian Husky is typically kept as a house pet, though they are still frequently used as sled dogs by competitive and recreational mushers.

"
102,102,silky_terrier,Silky Terrier,No description available.
103,103,soft-coated_wheaten_terrier,Soft-Coated Wheaten Terrier,"The Soft-coated Wheaten Terrier (Irish: An Brocaire Buí - literally, ""Yellow Terrier"") is a pure-breed terrier originating from Ireland. Wheatens typically have one of two coat types: Irish or Heavy (American). The Irish coat is generally silkier and wavier than the Heavy, or American coat, which is thicker and fuller. Wheatens are generally friendly and playful, and tend to get along well with children and other dogs.

"
104,104,staffordshire_bullterrier,Staffordshire Bullterrier,"The Staffordshire Bull Terrier is a British breed of short-haired terrier of medium size. Originating in Birmingham and the Black Country of Staffordshire, it is the direct descendant of the cross-bred Bull and terrier from the Old English Bulldog and the Old English Terrier. The breed’s ancestors were bred primarily for the blood sports of dog fighting and rat-baiting.
With the introduction of legislation criminalising blood sports including dog fighting in 1835 and again in 1911, attitudes changed which resulted in generations of responsible breeding and further breed refinement of the Stafford as a family pet and companion dog. The Stafford's association in early 19th century as a fighting dog made it difficult for the breed to gain recognition by the Kennel Club in the United Kingdom but was eventually added to their purebred registry in 1935.

"
105,105,standard_poodle,Standard Poodle,"The Poodle, called the Pudel in German and the Caniche in French, is a breed of water dog. The breed is dived into four varieties based on size, the Standard Poodle, Medium Poodle, Miniature Poodle and Toy Poodle, although the Medium Poodle variety is not universally recognised.
The Poodle is most commonly claimed to have been developed in Germany, although it is also claimed to be from France, the Standard Poodle was originally used by wildfowl hunters to retrieve game from water. The smaller varieties of the breed were bred from the original in France where they were once commonly used as circus performers, but have become popular companion dogs.

"
106,106,standard_schnauzer,Standard Schnauzer,"The Schnauzer or Standard Schnauzer (Mittelschnauzer) is a dog breed that originated in Germany in at least 14th–15th century, of Schnauzer breed type and progenitor of the Giant Schnauzer and Miniature Schnauzer. Initially it was called Wire-Haired Pinscher, while Schnauzer was adopted in 1879. The literal translation is ""snouter"" from the German word for ""snout"" and means colloquially ""moustache"", or ""whiskered snout"", because of the dog's distinctively bearded snout.Generally classified as a working or utility dog, this versatile breed is robust, squarely built, medium-sized dog with aristocratic bearing. It has been claimed that it was a popular subject of painters Sir Joshua Reynolds, Albrecht Dürer and Rembrandt, but actual proof remains elusive. Standard Schnauzers are either salt-and-pepper or black in color, and are known for exhibiting many of the ""ideal"" traits of any breed. These include high intelligence, agility, alertness, reliability, strength, and endurance. This breed of dog has been very popular in Europe, specifically Germany, where it originated. The breed was first exhibited at a show in Hanover in 1879, and since then has taken top honors in many shows, including the prestigious ""Best in Show"" at Westminster Kennel Club"" in the United States in 1997.

"
107,107,sussex_spaniel,Sussex Spaniel,"The Sussex Spaniel is a breed of dog native to Sussex in southern England. It is a low, compact spaniel and is as old a breed as and similar in appearance to the Clumber Spaniel. They can be slow-paced, but can have a clownish and energetic temperament. They suffer from health conditions common to spaniels and some large dogs, as well as a specific range of heart conditions and spinal disc herniation.
First recorded in 1795 in East and West Sussex being at Goodwood and Rolvenden for specific hunting conditions. The breed nearly became extinct during the Second World War. now more popular in the United Kingdom and the United States than any other countries and are recognised by all major kennel clubs. The breed was one of the first to be recognised by the UK Kennel Club in 1872. Notably a Sussex Spaniel named Stump won the best in show in 2009 at the 133rd Westminster Kennel Club, USA.

"
